Point Spread,Favorite Win Chance,Underdog Win Chance,
0,0.50,0.50,
0.5,0.50,0.50,
1,0.51,0.49,
1.5,0.53,0.48,
2,0.54,0.47,
2.5,0.55,0.46,
3,0.59,0.41,
3.5,0.64,0.36,
4,0.66,0.34,
4.5,0.67,0.33,
5,0.68,0.32,
5.5,0.69,0.31,
6,0.71,0.29,
6.5,0.72,0.28,
7,0.75,0.25,
7.5,0.78,0.22
8,0.79,0.21
8.5,0.80,0.20
9,0.81,0.19
9.5,0.81,0.19
10,0.84,0.16
10.5,0.86,0.14
11,0.87,0.13
11.5,0.88,0.12
12,0.89,0.12
12.5,0.89,0.11
13,0.89,0.11
13.5,0.90,0.10
14,0.92,0.08
14.5,0.95,0.05
15,0.96,0.04
15.5,0.96,0.04
16,0.98,0.02
16.5,1.00,0.00
,,
,,
